Condition,Core Ingredients,Skin Type Modifiers,Skin Tone Modifiers (Fitzpatrick I–VI),Environment Modifiers (Hot–Humid / Hot–Dry / Cold–Dry / Polluted / Coastal-Sunny)
Psoriasis,"Salicylic Acid (1–3%), Coal Tar, Urea 10–20%, Lactic Acid, Ceramides, Niacinamide, Calcipotriene (Rx)",Oily: SA 2–3%Dry: Urea 20% + ceramidesCombo: SA only on plaquesSensitive: Lactic acid instead of SA,IV–VI: Avoid potent steroids (risk of hypo). Prefer niacinamide + ureaI–III: Coal tar + SA well tolerated,Hot-Humid: Gel & low ureaHot-Dry: Heavy ceramidesCold-Dry: Thick occlusivesPolluted: Add antioxidantsCoastal: Daily SPF
Vitiligo,"SPF 50+, Niacinamide, Vitamin C, Tacrolimus/Pimecrolimus (Rx), Green Tea Antioxidants",Oily: Gel sunscreenDry: Cream SPFSensitive: Avoid acidic vitamin CCombo: Split texture,IV–VI: Tinted mineral SPFI–III: Vitamin C OK,Sunny: Mandatory SPFCold-Dry: Add ceramidesPolluted: Antioxidants
Lichen Planus,"Aloe Vera, Niacinamide 4–10%, Urea 10%, Colloidal Oatmeal, Zinc",Oily: Gel aloe + niacinamideDry: Urea + oatmealSensitive: No acids,IV–VI: More PIH risk → niacinamideI–III: Zinc + oatmeal,Hot-Humid: Gel formatsCold-Dry: Cream-based soothing
Moles (Nevus),"SPF 50, Niacinamide, Vitamin C, Antioxidants",Oily: Gel SPFDry: Cream SPFSensitive: Mineral SPF only,IV–VI: Tinted SPF to avoid white cast,Sunny: High SPFPolluted: Antioxidants
Vascular Tumors (Hemangiomas),"SPF, Centella, Aloe, Niacinamide",Dry: CeramidesSensitive: Centella preferred,Neutral,Sunny: Strong SPF needed
Sun Damage,"Retinol, Vitamin C, Niacinamide, Peptides, Azelaic Acid, SPF",Oily: Retinol + niacinamideDry: Peptides + ceramidesSensitive: Azelaic instead of retinol,IV–VI: Avoid hydroquinone → use azelaic acid,Sunny: Vitamin C + SPF essentialDry: Ceramides
Benign Tumors (Cysts/Lipomas),"Niacinamide, Centella, Tea Tree (oily skin)",Oily: Tea treeDry: CentellaSensitive: Pure niacinamide,All tones safe,Polluted: Add antioxidants
Acne,"Salicylic Acid, Benzoyl Peroxide 2.5%, Niacinamide, Retinoids, Azelaic Acid, Tea Tree",Oily: SA + BP + retinoidDry: Azelaic + niacinamideSensitive: Avoid BPCombo: SA for T-zone,IV–VI: Azelaic to prevent PIHI–III: Retinoids strong,Humid: SA works betterDry: Add ceramides
Rosacea,"Azelaic Acid 10–20%, Niacinamide, Green Tea, Centella, Allantoin",Oily: Gel azelaicDry: Cream azelaicSensitive: No retinoids/SA,IV–VI: Use niacinamide more (redness masking),Hot: Avoid irritantsCold: Ceramides
Eczema,"Ceramides, Colloidal Oatmeal, Shea Butter, Urea 10%, Hydrocortisone (mild)",Oily: Lightweight ceramidesDry: OcclusivesSensitive: No fragrances,IV–VI: Add niacinamide for PIH,Cold-Dry: Heavy occlusivesHumid: Light ceramides
Tinea (Fungal),"Clotrimazole, Terbinafine, Ketoconazole, Zinc PCA",Oily: SA wash + antifungalDry: Cream antifungal,Safe for all tones,Humid: Use zinc PCA + powders
Candidiasis,"Clotrimazole, Miconazole, Zinc Oxide, Antifungal Powders",Oily: PowdersDry: Creams,All tones safe,Humid: Prefer powdersDry: Creams
Warts,"Salicylic Acid 17–40%, Retinoids (adjunct), Zinc",Sensitive: Avoid high SADry: Occlusive after SA,IV–VI: Avoid aggressive freezing (PIH risk),Neutral
Seborrheic Keratosis,"Urea 20–40%, Lactic Acid, Retinoids, Niacinamide",Oily: Lactic gelDry: Urea creamSensitive: Avoid strong acids,IV–VI: Gentle to avoid pigmentation,Dry: Moisturizers + urea
Infestations / Bites,"Calamine, Aloe, Hydrocortisone, Tea Tree, Antihistamines",Sensitive: Soothing onlyDry: Cream-based relief,IV–VI: High PIH risk → niacinamide + azelaic,Humid: Tea tree helps antibacterial
Unknown / Normal,"Niacinamide, Vitamin C, Hyaluronic Acid, Ceramides, SPF",Adjust based on type,IV–VI: Low-strength Vit C,Polluted: Add antioxidants
